Unidade;Area;Capacitacao;Tipo;Horas;Custo;Mes T1;Data T1;Status T1;Convidados T1;Presentes T1;NPS T1;Mes T2;Data T2;Status T2;Convidados T2;Presentes T2;NPS T2;Mes T3;Data T3;Status T3;Convidados T3;Presentes T3;NPS T3;Mes T4;Data T4;Status T4;Convidados T4;Presentes T4;NPS T4;Mes T5;Data T5;Status T5;Convidados T5;Presentes T5;NPS T5
SMC;Manuteno;Manuteno Correias Transportadoras ;Externo;8;39478;Mai;10 e 11;Realizado;20;18;100;;;;;;;;;;;;;;;;;;;;;;;;
SMC;Manuteno;Controles Seletivos Mecnico ;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMC;Manuteno;Manuteno e Operao Resfriador ;Interno;;;Ago;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMC;Produo;Formao Clinquerizao com Simulex ;Interno;;;Mar;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMC;Manuteno;Automao Industrial ;Interno;;;Abr;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corporativo;Manuteno Corporativa ;Motores de M?dia Tenso;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corporativo;Manuteno Corporativa ;Inversores de M?dia Tenso;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corporativo;Manuteno Corporativa ;Inversores de M?dia Tenso;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corporativo;Manuteno Corporativa ;Inversores de M?dia Tenso;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corporativo;Manuteno Corporativa ;Inversores de M?dia Tenso;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corporativo;Manuteno Corporativa ;Manuteno Preventiva e Inspeo em  Analisadores  ;Externo;;17800;Jul;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corporativo;Manuteno Corporativa ;Engenharia de Confiabilidade ( RCM Abordagem Proativa);Externo;32;19100;Abr;6 a 10;Planejado;15;;;;;;;;;;;;;;;;;;;;;;;;;;
Corporativo;Manuteno Corporativa ;T1: Formao Key user I SAP PM / EAM S/4HANA ;Externo;32;19100;Mai;4 a 8;Planejado;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJ;Manuteno;Manuteno e Operao Ensacadeiras ;Externo;32;;Abr;14 a 17;Planejado;15;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJ;Manuteno;Manuteno e Operao Paletizadoras ;Externo;;;Mai;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJ;Produo;Operao Moinho de Bolas;Interno;;;Fev;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJ;Manuteno;Capacitao Sistema Especialista ;Interno;;;Fev;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJ;Manuteno;Rede de Comunicao El?trica Industrial ;Externo;;;Mai;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPA;Manuteno;Automao Industrial ;Externo;;;Abr;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPA;Manuteno;Instrumentao ;Externo;;;Abr;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPA;Manuteno;Alinhamento Conjuntos Rotativos e Montagem de Rolamentos ;Externo;;;Set;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPA;Manuteno;Pneumtica;Externo;;;Set;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPA;Manuteno;Factory Talk View Studio;Externo;;;Set;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
BDQ;Manuteno;Manuseio nos Blasters Martin;Externo;4;5000;Mar;18 a 20;Planejado;25;;;;;;;;;;;;;;;;;;;;;;;;;;
BDQ;Manuteno;Manuseio de Bomba e Compressores ;Externo;;;Abr;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
BDQ;Produo;Manuteno e Operao Filtros de Mangas;Externo;;;Mai;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
BDQ;Manuteno;Automao Industrial ;Externo;;;Abr;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
BDQ;Manuteno;Pneumtica;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
API;Manuteno;Operatria de Manuteno ;Interno;;6000;Jul;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
API;Manuteno;Governana de Grandes Paradas;Interno;;4400;Jul;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
API;Manuteno;Inspeo Moagens e Fornos;Interno;16;;Abr;7 a 9;Planejado;;13;;;;;;;;;;;;;;;;;;;;;;;;;
API;Produo;Combusto | Consumo T?rmico;Interno;;;Set;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
API;Produo;Manuteno e Operao Resfriador ;Interno;;;Mai;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAF;Produo;Combusto | Consumo T?rmico;Interno;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAF;Produo;Formao de Aneis e Ciclos Volat?is ;Interno;;;Mai;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAF;Manuteno;Formao Operador Mantenedor Ensacamento;Externo;32;47280;Mai;19 a 22;Planejado;15;;;;;;;;;;;;;;;;;;;;;;;;;;
CAF;Manuteno;Manuteno e Operao Moagens (atox 40.0);Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAF;Manuteno;Manuteno e Operao Paletizadoras ;Externo;;;Mai;;Em andamento ;;;;JUN;01  a 03;Em andamento;;;;;;;;;;;;;;;;;;;;;
CEZ;Manuteno;Manuteno e Montagem Rolamentos ;Externo;;;Mar;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CEZ;Manuteno;Alinhamento Conjuntos Rotativos e Montagem de Rolamentos ;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CEZ;Manuteno;Linguagem Automao Industrial ;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CEZ;Manuteno;Manuteno de Redultores de Velocidade;Externo;;;Jul;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CEZ;Produo;Formao Operador Mantenedor;Externo;;;Jul;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
IJA;Produo;Formao de Aneis ;Externo;;;Ago;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
IJA;Produo;Formao de Aneis ;Interno;;;Ago;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
IJA;Processos;Formao Analistas de Controle de Qualidade do Turno ;Externo;;;Mai;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
IJA;Processos;Formao Analistas de Controle de Qualidade do Turno ;Interno;;;Mai;;Em andamento ;;;;MAR;8 a 12;Realizado;10;9;95;MAI;5 a 10;Planejado;;;;;;;;;;;;;;;
IJA;Processos;Formao Operador Mantenedor Ensacamento;Externo;;;Abr;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
IJA;Processos;Formao Operador Mantenedor Ensacamento;Externo;;59718;Abr;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
IJA;Manuteno;Formao Bsica de Manuteno ;Externo;;;Jul;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
IJA;Processos;Gesto de Qualidade M?todos e Ferramentas ;Externo;;;Out;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
NSR;Produo;Operao Moinho de Bolas;Interno;;;Abr;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
NSR;Manuteno;Manuteno Mecnica Balanas Dosadoras;Externo;;;Mai;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
NSR;Manuteno;Manuteno e Operao Paletizadoras ;Externo;;;Abr;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
NSR;Manuteno;Analise de Vibrao ;Externo;;11050;Abr;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
NSR;Manuteno;PLC Controllogix;Interno;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAN;Produo;Formao Operador Mantenedor ;Externo;;;Mai;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAN;Manuteno;Manuseio de Bomba e Compressores ;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAN;Manuteno;Manuteno Correias Transportadoras ;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAN;Produo;Manuteno e Operao Moagens Verticais;Externo;;;Jul;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAN;Manuteno;Automao Industrial ;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAN;Manuteno;Manuteno e Operao Ensacadeiras ;Externo;32;;Fev;24 a 27;Realizado;15;15;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
